회차,판매점ID,번호,판매점명,등수,자동수동,지역,주소,전화번호,취급복권,위도,경도,복권종류
3,71162096,5,행복공간,보너스,,,"서울특별시 강동구 풍성로 115 (성내동, 정수빌딩) 1층",024832143,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.532128,127.125117,pension
3,71162096,4,행복공간,보너스,,,"서울특별시 강동구 풍성로 115 (성내동, 정수빌딩) 1층",024832143,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.532128,127.125117,pension
3,001160,3,인터넷 복권판매사이트,보너스,,인터넷,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
3,001160,2,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
3,001160,1,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
4,72660182,11,슈퍼복권나라,1등,,부산광역시,부산광역시 동래구 여고북로 10 (사직동) 1층,0515049936,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.201383,129.065988,pension
4,72660182,10,슈퍼복권나라,2등,,,부산광역시 동래구 여고북로 10 (사직동) 1층,0515049936,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.201383,129.065988,pension
4,72660182,9,슈퍼복권나라,2등,,,부산광역시 동래구 여고북로 10 (사직동) 1층,0515049936,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.201383,129.065988,pension
4,72660182,8,슈퍼복권나라,2등,,,부산광역시 동래구 여고북로 10 (사직동) 1층,0515049936,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.201383,129.065988,pension
4,72660182,7,슈퍼복권나라,2등,,,부산광역시 동래구 여고북로 10 (사직동) 1층,0515049936,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.201383,129.065988,pension
4,001160,6,인터넷 복권판매사이트,보너스,,인터넷,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
4,001160,5,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
4,001160,4,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
4,001160,3,인터넷 복권판매사이트,2등,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
4,001160,2,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
4,001160,1,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
5,74460594,11,아시아마트,보너스,,충청남도,충청남도 천안시 동남구 대흥로 237 (대흥동) 1층,0415559280,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",36.809119,127.147761,pension
5,74460594,10,아시아마트,보너스,,,충청남도 천안시 동남구 대흥로 237 (대흥동) 1층,0415559280,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",36.809119,127.147761,pension
5,74460594,9,아시아마트,보너스,,,충청남도 천안시 동남구 대흥로 237 (대흥동) 1층,0415559280,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",36.809119,127.147761,pension
5,74460594,8,아시아마트,보너스,,,충청남도 천안시 동남구 대흥로 237 (대흥동) 1층,0415559280,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",36.809119,127.147761,pension
5,74460594,7,아시아마트,보너스,,,충청남도 천안시 동남구 대흥로 237 (대흥동) 1층,0415559280,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",36.809119,127.147761,pension
5,71160912,6,CSPACE노원점,2등,,서울특별시,서울 노원구 노해로 508 상계주공6단지아파트 619동,029320346,"연금복권720+, 스피또2000, 스피또1000, 스피또500",37.655036,127.065315,pension
5,71160912,5,CSPACE노원점,2등,,,서울 노원구 노해로 508 상계주공6단지아파트 619동,029320346,"연금복권720+, 스피또2000, 스피또1000, 스피또500",37.655036,127.065315,pension
5,71160912,4,CSPACE노원점,2등,,,서울 노원구 노해로 508 상계주공6단지아파트 619동,029320346,"연금복권720+, 스피또2000, 스피또1000, 스피또500",37.655036,127.065315,pension
5,71160912,3,CSPACE노원점,2등,,,서울 노원구 노해로 508 상계주공6단지아파트 619동,029320346,"연금복권720+, 스피또2000, 스피또1000, 스피또500",37.655036,127.065315,pension
5,71160912,2,CSPACE노원점,1등,,,서울 노원구 노해로 508 상계주공6단지아파트 619동,029320346,"연금복권720+, 스피또2000, 스피또1000, 스피또500",37.655036,127.065315,pension
5,001160,1,인터넷 복권판매사이트,보너스,,인터넷,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
6,74860117,16,킹마트,보너스,,경상남도,경남 창원시 38-1 (가음동),0552626007,"연금복권720+, 스피또2000, 스피또1000, 스피또500",35.206714,128.700435,pension
6,74860117,15,킹마트,보너스,,,경남 창원시 38-1 (가음동),0552626007,"연금복권720+, 스피또2000, 스피또1000, 스피또500",35.206714,128.700435,pension
6,74860117,14,킹마트,보너스,,,경남 창원시 38-1 (가음동),0552626007,"연금복권720+, 스피또2000, 스피또1000, 스피또500",35.206714,128.700435,pension
6,74860117,13,킹마트,보너스,,,경남 창원시 38-1 (가음동),0552626007,"연금복권720+, 스피또2000, 스피또1000, 스피또500",35.206714,128.700435,pension
6,74860117,12,킹마트,보너스,,,경남 창원시 38-1 (가음동),0552626007,"연금복권720+, 스피또2000, 스피또1000, 스피또500",35.206714,128.700435,pension
6,74760517,11,대박복권(오천),2등,,경상북도,경상북도 포항시 남구 오천읍 정몽주로 633  1층,0542930064,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.974435,129.414222,pension
6,74760517,10,대박복권(오천),2등,,,경상북도 포항시 남구 오천읍 정몽주로 633  1층,0542930064,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.974435,129.414222,pension
6,74760517,9,대박복권(오천),2등,,,경상북도 포항시 남구 오천읍 정몽주로 633  1층,0542930064,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.974435,129.414222,pension
6,74760517,8,대박복권(오천),1등,,,경상북도 포항시 남구 오천읍 정몽주로 633  1층,0542930064,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.974435,129.414222,pension
6,74760517,7,대박복권(오천),2등,,,경상북도 포항시 남구 오천읍 정몽주로 633  1층,0542930064,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.974435,129.414222,pension
6,001160,6,인터넷 복권판매사이트,1등,,인터넷,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
6,001160,5,인터넷 복권판매사이트,2등,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
6,001160,4,인터넷 복권판매사이트,2등,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
6,001160,3,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
6,001160,2,인터넷 복권판매사이트,2등,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
6,001160,1,인터넷 복권판매사이트,2등,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
7,74260487,11,명동열쇠,보너스,,강원도,"강원도 춘천시  중앙로 57 (중앙로2가, 춘천신협)  1층",0332412963,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",37.879853,127.727438,pension
7,74260487,10,명동열쇠,보너스,,,"강원도 춘천시  중앙로 57 (중앙로2가, 춘천신협)  1층",0332412963,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",37.879853,127.727438,pension
7,74260487,9,명동열쇠,보너스,,,"강원도 춘천시  중앙로 57 (중앙로2가, 춘천신협)  1층",0332412963,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",37.879853,127.727438,pension
7,74260487,8,명동열쇠,보너스,,,"강원도 춘천시  중앙로 57 (중앙로2가, 춘천신협)  1층",0332412963,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",37.879853,127.727438,pension
7,74260487,7,명동열쇠,보너스,,,"강원도 춘천시  중앙로 57 (중앙로2가, 춘천신협)  1층",0332412963,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",37.879853,127.727438,pension
7,71165120,6,행운복권방,1등,,서울특별시,"서울특별시 금천구 가산디지털1로 168 (가산동, 우림라이온스밸리) 1층",,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.479966,126.882636,pension
7,71165120,5,행운복권방,2등,,,"서울특별시 금천구 가산디지털1로 168 (가산동, 우림라이온스밸리) 1층",,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.479966,126.882636,pension
7,71165120,4,행운복권방,2등,,,"서울특별시 금천구 가산디지털1로 168 (가산동, 우림라이온스밸리) 1층",,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.479966,126.882636,pension
7,71165120,3,행운복권방,2등,,,"서울특별시 금천구 가산디지털1로 168 (가산동, 우림라이온스밸리) 1층",,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.479966,126.882636,pension
7,71165120,2,행운복권방,2등,,,"서울특별시 금천구 가산디지털1로 168 (가산동, 우림라이온스밸리) 1층",,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.479966,126.882636,pension
7,001160,1,인터넷 복권판매사이트,보너스,,인터넷,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
8,74165937,15,도깨비(로또),보너스,,경기도,경기도 광주시 이배재로 146 1층(목현동),,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.42885,127.239808,pension
8,74165937,14,도깨비(로또),보너스,,,경기도 광주시 이배재로 146 1층(목현동),,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.42885,127.239808,pension
8,74165937,13,도깨비(로또),보너스,,,경기도 광주시 이배재로 146 1층(목현동),,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.42885,127.239808,pension
8,74165937,12,도깨비(로또),보너스,,,경기도 광주시 이배재로 146 1층(목현동),,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.42885,127.239808,pension
8,74165937,11,도깨비(로또),보너스,,,경기도 광주시 이배재로 146 1층(목현동),,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.42885,127.239808,pension
8,74162306,10,파크애비뉴,1등,,,경기도 화성시 동탄공원로3길 40-6 (반송동) 1층,07082490823,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.214109,126.81615,pension
8,74162306,9,파크애비뉴,2등,,,경기도 화성시 동탄공원로3길 40-6 (반송동) 1층,07082490823,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.214109,126.81615,pension
8,74162306,8,파크애비뉴,2등,,,경기도 화성시 동탄공원로3길 40-6 (반송동) 1층,07082490823,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.214109,126.81615,pension
8,74162306,7,파크애비뉴,2등,,,경기도 화성시 동탄공원로3길 40-6 (반송동) 1층,07082490823,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.214109,126.81615,pension
8,74162306,6,파크애비뉴,2등,,,경기도 화성시 동탄공원로3길 40-6 (반송동) 1층,07082490823,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.214109,126.81615,pension
8,001160,5,인터넷 복권판매사이트,1등,,인터넷,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
8,001160,4,인터넷 복권판매사이트,2등,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
8,001160,3,인터넷 복권판매사이트,2등,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
8,001160,2,인터넷 복권판매사이트,2등,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
8,001160,1,인터넷 복권판매사이트,2등,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
9,74860733,15,CU거제해금강점,보너스,,경상남도,경남 거제시 중곡로 15 1층,,"연금복권720+, 스피또2000, 스피또1000, 스피또500",34.894133,128.630203,pension
9,74860733,14,CU거제해금강점,보너스,,,경남 거제시 중곡로 15 1층,,"연금복권720+, 스피또2000, 스피또1000, 스피또500",34.894133,128.630203,pension
9,74860733,13,CU거제해금강점,보너스,,,경남 거제시 중곡로 15 1층,,"연금복권720+, 스피또2000, 스피또1000, 스피또500",34.894133,128.630203,pension
9,74860733,12,CU거제해금강점,보너스,,,경남 거제시 중곡로 15 1층,,"연금복권720+, 스피또2000, 스피또1000, 스피또500",34.894133,128.630203,pension
9,74860733,11,CU거제해금강점,보너스,,,경남 거제시 중곡로 15 1층,,"연금복권720+, 스피또2000, 스피또1000, 스피또500",34.894133,128.630203,pension
9,74460003,10,일양택배(복권나라),2등,,충청남도,충남 계룡시 엄사중앙로 93 일양택배,0428414802,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.28907,127.241662,pension
9,74460003,9,일양택배(복권나라),2등,,,충남 계룡시 엄사중앙로 93 일양택배,0428414802,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.28907,127.241662,pension
9,74460003,8,일양택배(복권나라),1등,,,충남 계룡시 엄사중앙로 93 일양택배,0428414802,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.28907,127.241662,pension
9,74460003,7,일양택배(복권나라),2등,,,충남 계룡시 엄사중앙로 93 일양택배,0428414802,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.28907,127.241662,pension
9,74460003,6,일양택배(복권나라),2등,,,충남 계룡시 엄사중앙로 93 일양택배,0428414802,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.28907,127.241662,pension
9,001160,5,인터넷 복권판매사이트,보너스,,인터넷,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
9,001160,4,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
9,001160,3,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
9,001160,2,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
9,001160,1,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
10,74460650,7,잉크와복권방,보너스,,충청남도,충남 천안시 차돌로 84 1층,0415921677,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.802076,127.139416,pension
10,74460650,6,잉크와복권방,보너스,,,충남 천안시 차돌로 84 1층,0415921677,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.802076,127.139416,pension
10,74460650,5,잉크와복권방,보너스,,,충남 천안시 차돌로 84 1층,0415921677,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.802076,127.139416,pension
10,74460650,4,잉크와복권방,보너스,,,충남 천안시 차돌로 84 1층,0415921677,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.802076,127.139416,pension
10,74460650,3,잉크와복권방,보너스,,,충남 천안시 차돌로 84 1층,0415921677,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.802076,127.139416,pension
10,71166034,2,CU동덕우체국점,2등,,서울특별시,서울 성북구 화랑로13길 79-2,1111,"스피또2000, 스피또1000",37.606658,127.040766,pension
10,71166034,1,CU동덕우체국점,2등,,,서울 성북구 화랑로13길 79-2,1111,"스피또2000, 스피또1000",37.606658,127.040766,pension
11,74163289,12,진흥버스가판점,2등,,경기도,"경기도 안양시 만안구  관악대로 57-2 (안양동, 만안구 가로판매대2009-00056)  가두판매점",0314668414,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.397214,126.930776,pension
11,74163289,11,진흥버스가판점,2등,,,"경기도 안양시 만안구  관악대로 57-2 (안양동, 만안구 가로판매대2009-00056)  가두판매점",0314668414,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.397214,126.930776,pension
11,74163289,10,진흥버스가판점,2등,,,"경기도 안양시 만안구  관악대로 57-2 (안양동, 만안구 가로판매대2009-00056)  가두판매점",0314668414,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.397214,126.930776,pension
11,74163289,9,진흥버스가판점,1등,,,"경기도 안양시 만안구  관악대로 57-2 (안양동, 만안구 가로판매대2009-00056)  가두판매점",0314668414,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.397214,126.930776,pension
11,74163289,8,진흥버스가판점,2등,,,"경기도 안양시 만안구  관악대로 57-2 (안양동, 만안구 가로판매대2009-00056)  가두판매점",0314668414,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.397214,126.930776,pension
11,71161384,7,대박드림복권,보너스,,서울특별시,"서울특별시 중랑구 망우로 203 (중화동, 중화동주상복합) 1층",07041452553,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.593996,127.075009,pension
11,71161384,6,대박드림복권,보너스,,,"서울특별시 중랑구 망우로 203 (중화동, 중화동주상복합) 1층",07041452553,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.593996,127.075009,pension
11,71161384,5,대박드림복권,보너스,,,"서울특별시 중랑구 망우로 203 (중화동, 중화동주상복합) 1층",07041452553,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.593996,127.075009,pension
11,71161384,4,대박드림복권,보너스,,,"서울특별시 중랑구 망우로 203 (중화동, 중화동주상복합) 1층",07041452553,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.593996,127.075009,pension
11,71161384,3,대박드림복권,보너스,,,"서울특별시 중랑구 망우로 203 (중화동, 중화동주상복합) 1층",07041452553,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.593996,127.075009,pension
11,001160,2,인터넷 복권판매사이트,보너스,,인터넷,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
11,001160,1,인터넷 복권판매사이트,2등,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
12,74861412,6,목화휴게소,보너스,,경상남도,경상남도 사천시 용현면 사천대로 912 (목화휴게소식당)  목화휴게소,0558352780,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.001705,128.054133,pension
12,74861412,5,목화휴게소,보너스,,,경상남도 사천시 용현면 사천대로 912 (목화휴게소식당)  목화휴게소,0558352780,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.001705,128.054133,pension
12,74861412,4,목화휴게소,보너스,,,경상남도 사천시 용현면 사천대로 912 (목화휴게소식당)  목화휴게소,0558352780,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.001705,128.054133,pension
12,74861412,3,목화휴게소,보너스,,,경상남도 사천시 용현면 사천대로 912 (목화휴게소식당)  목화휴게소,0558352780,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.001705,128.054133,pension
12,74861412,2,목화휴게소,보너스,,,경상남도 사천시 용현면 사천대로 912 (목화휴게소식당)  목화휴게소,0558352780,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.001705,128.054133,pension
12,001160,1,인터넷 복권판매사이트,보너스,,인터넷,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
13,74862809,6,행운로또(장유무계),1등,,경상남도,경남 김해시 장유로 301번길 12 1층,,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.200718,128.815386,pension
13,74862809,5,행운로또(장유무계),2등,,,경남 김해시 장유로 301번길 12 1층,,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.200718,128.815386,pension
13,74862809,4,행운로또(장유무계),2등,,,경남 김해시 장유로 301번길 12 1층,,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.200718,128.815386,pension
13,74862809,3,행운로또(장유무계),2등,,,경남 김해시 장유로 301번길 12 1층,,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.200718,128.815386,pension
13,74862809,2,행운로또(장유무계),2등,,,경남 김해시 장유로 301번길 12 1층,,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.200718,128.815386,pension
13,001160,1,인터넷 복권판매사이트,2등,,인터넷,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
14,73060441,9,SE대전유성도안점,2등,,대전광역시,대전광역시 유성구 봉명서로 43-4 (봉명동) 1층,0428260733,"연금복권720+, 스피또2000, 스피또1000",36.346459,127.341526,pension
14,73060441,8,SE대전유성도안점,2등,,,대전광역시 유성구 봉명서로 43-4 (봉명동) 1층,0428260733,"연금복권720+, 스피또2000, 스피또1000",36.346459,127.341526,pension
14,73060441,7,SE대전유성도안점,2등,,,대전광역시 유성구 봉명서로 43-4 (봉명동) 1층,0428260733,"연금복권720+, 스피또2000, 스피또1000",36.346459,127.341526,pension
14,73060441,6,SE대전유성도안점,2등,,,대전광역시 유성구 봉명서로 43-4 (봉명동) 1층,0428260733,"연금복권720+, 스피또2000, 스피또1000",36.346459,127.341526,pension
